title,description,publishedAt,source,cleaned_title
Apple and SpaceX Link Up to Support Starlink Satellite Network on iPhones - Bloomberg,"Apple Inc. has been secretly working with SpaceX and T-Mobile US Inc. to add support for the Starlink network in its latest iPhone software, providing an alternative to the company’s in-house satellite-communication service.",2025-01-29T05:25:00Z,"{'id': 'bloomberg', 'name': 'Bloomberg'}",apple spacex link support starlink satellite network iphones bloomberg
Compile Heart and M2 shoot ’em up titled Zaleste - Gematsu,"The new shoot ’em up from publisher Compile Heart and developer M2 is titled Zaleste, and is a collaboration between Zanac’s D4 Enterprise and Aleste’s M2, the latest issue of Wee…",2025-01-29T04:50:09Z,"{'id': None, 'name': 'Gematsu'}",compile heart m2 shoot ’ em titled zaleste gematsu
Legendary 'Father of Final Fantasy' Returns to Make One Last Game - Push Square,"The spiritual ""successor to Final Fantasy VI""",2025-01-29T04:00:00Z,"{'id': None, 'name': 'Push Square'}",legendary father final fantasy returns make one last game push square
"Steam-Heart’s & Advanced Variable Geo Saturn Tribute announced for PS5, PS4, Xbox One, Switch, and PC - Gematsu","City Connection has announced Steam-Heart’s & Advanced Variable Geo Saturn Tribute for PlayStation 5, PlayStation 4, Xbox One, Switch, and PC (Steam). It will launch on May 29 in Japan. …",2025-01-29T03:26:28Z,"{'id': None, 'name': 'Gematsu'}",steamheart ’ advanced variable geo saturn tribute announced ps5 ps4 xbox one switch pc gematsu
"DOOM + DOOM II Switch Update 2 Now Live, Here Are The Full Patch Notes - Nintendo Life",Adds multiplayer mod support and more,2025-01-29T01:37:40Z,"{'id': None, 'name': 'Nintendo Life'}",doom doom ii switch update 2 live full patch notes nintendo life
RTX 5080 and RTX 5090 Prebuilt Gaming PCs Are Already Available Right Now at Adorama - IGN,No need to wait until January 30.,2025-01-28T22:56:26Z,"{'id': 'ign', 'name': 'IGN'}",rtx 5080 rtx 5090 prebuilt gaming pcs already available right adorama ign
"Monster Hunter Wilds Interview: Meet Nu Udra, Apex of the Oilwell Basin – IGN First - IGN","What kind of concept did the Monster Hunter Wilds development team have in mind when constructing Oilwell Basin and its monsters? We ask Kaname Fujioka, a director starting with the first Monster Hunter as well as Executive Director and Art Director for Wilds.",2025-01-28T22:03:01Z,"{'id': 'ign', 'name': 'IGN'}",monster hunter wilds interview meet nu udra apex oilwell basin – ign first ign
iPhone SE 4 to Have Notch Instead of Dynamic Island - MacRumors,"The upcoming iPhone SE 4 will feature a notch instead of the Dynamic Island, respected display analyst Ross Young said today. The device will have a...",2025-01-28T21:49:31Z,"{'id': None, 'name': 'MacRumors'}",iphone se 4 notch instead dynamic island macrumors
"Nothing teases its first telephoto camera, Phone (3a) may have a bigger display - 9to5Google",Nothing is prepping for a launch event in March and it’s expected that it’ll see the launch of either Nothing...,2025-01-28T21:45:00Z,"{'id': None, 'name': '9to5google.com'}",nothing teases first telephoto camera phone 3a may bigger display 9to5google
How to craft the Ice Staff in Black Ops 6 Zombies on The Tomb - Dexerto,"Crafting the Ice Staff Wonder Weapon in Black Ops 6 Zombies only requires a few simple steps, but hordes of enemies make the task difficult.",2025-01-28T21:40:43Z,"{'id': None, 'name': 'Dexerto'}",craft ice staff black ops 6 zombies tomb dexerto
AI haters build tarpits to trap and trick AI scrapers that ignore robots.txt - Ars Technica,Attackers explain how an anti-spam defense became an AI weapon.,2025-01-28T21:16:31Z,"{'id': 'ars-technica', 'name': 'Ars Technica'}",ai haters build tarpits trap trick ai scrapers ignore robotstxt ars technica
Destiny 2 Is Getting Star Wars Gear In Latest Crossover Collaboration - GameSpot,Bungie previously partnered with franchises like The Witcher and Mass Effect.,2025-01-28T20:22:28Z,"{'id': None, 'name': 'GameSpot'}",destiny 2 getting star wars gear latest crossover collaboration gamespot
Game Developers Choice Awards 2025 Nominees Revealed - GameSpot,GDC Awards is celebrating its 25th anniversary this year.,2025-01-28T19:46:49Z,"{'id': None, 'name': 'GameSpot'}",game developers choice awards 2025 nominees revealed gamespot
Pokémon TCG Pocket’s next expansion is leaking all over the place - Polygon,"Pokémon TCG Pocket cards like Weavile ex, Porygon-Z, and Bidoof are leaking from the mobile game’s next expansion, Space-Time Smackdown",2025-01-28T19:25:51Z,"{'id': 'polygon', 'name': 'Polygon'}",pokémon tcg pocket ’ next expansion leaking place polygon
Baldur’s Gate 3’s last big update with cross-play is now available for stress testing - Polygon,"Larian Studios is inviting players to test out cross-play, photo mode, and 12 new subclasses in the final patch for the RPG.",2025-01-28T18:42:25Z,"{'id': 'polygon', 'name': 'Polygon'}",baldur ’ gate 3 ’ last big update crossplay available stress testing polygon
"Blue Origin scrubs landmark New Shepard moon-gravity launch due to weather, rocket glitch - Space.com",The company has not yet announced a new target date for the NS-29 mission.,2025-01-28T18:23:22Z,"{'id': None, 'name': 'Space.com'}",blue origin scrubs landmark new shepard moongravity launch due weather rocket glitch spacecom
Apple’s latest iPad Pro has returned to its Black Friday sale price - The Verge,"The latest iPad Pro is now available starting at $849 ($150 off). Fujifilm’s Instax Mini Link 3 is also on sale, along with 8BitDo’s retro-inspired keyboard.",2025-01-28T18:07:48Z,"{'id': 'the-verge', 'name': 'The Verge'}",apple ’ latest ipad pro returned black friday sale price verge
New Apple CPU side-channel attacks steal data from browsers - BleepingComputer,A team of security researchers has disclosed new side-channel vulnerabilities in modern Apple processors that could steal sensitive information from web browsers.,2025-01-28T18:00:00Z,"{'id': None, 'name': 'BleepingComputer'}",new apple cpu sidechannel attacks steal data browsers bleepingcomputer
Monastery escape tactics sim The Stone Of Madness is out now and has me thinking about time - Rock Paper Shotgun,"Today is release day for The Game Kitchen's The Stone Of Madness, an isometric tactical stealth game set in an 18th cen…",2025-01-28T17:59:16Z,"{'id': None, 'name': 'Rock Paper Shotgun'}",monastery escape tactics sim stone madness thinking time rock paper shotgun
